aX,aY,aZ,gX,gY,gZ,label
-0.6398,1.4333,-0.5007,-45.71,155.89,123.62,running
-0.2816,1.219,-0.507,-24.43,131.32,170.8,running
1.1634,1.5211,-0.5266,-55.79,72.45,231.63,running
-0.6905,2.1457,-1.218,-111.65,62.09,164.78,running
-1.526,1.9125,-0.9726,-51.87,123.41,173.39,running
-1.0502,1.1795,-0.9335,-85.82,136.99,221.13,running
-0.8984,1.0882,-0.9677,-16.03,106.12,199.99,running
-0.245,1.222,-1.1131,-66.22,0.42,175.7,running
-0.3972,1.5226,-1.3664,-192.29,-109.41,111.79,running
-1.6241,1.5421,-1.0882,-157.64,-127.19,4.13,running
-1.6172,0.7993,-0.8642,-97.3,-106.05,-43.61,running
-0.774,0.2562,-0.6793,-81.13,-137.76,-35.49,running
-0.5719,0.3211,-0.7613,-57.68,-187.6,-60.62,running
-0.9941,0.5475,-0.7886,-35.07,-214.06,-104.02,running
-1.0629,0.5031,-0.6871,-12.46,-223.09,-132.86,running
-0.7627,0.3738,-0.5661,-8.82,-201.46,-156.03,running
-0.5754,0.4787,-0.4377,16.38,-162.4,-208.67,running
-0.4592,0.5261,-0.6051,8.19,-164.08,-286.65,running
-0.2913,0.7998,-0.5051,-15.61,-157.01,-380.31,running
-0.1259,0.9248,-0.4455,11.48,-113.26,-431.48,running
0.1327,0.9775,-0.4329,33.32,-56.63,-456.68,running
0.1308,1.0677,-0.4124,52.36,-5.95,-468.23,running
0.0649,1.178,-0.2767,94.15,17.57,-473.55,running
0.2962,1.4435,-0.1547,158.06,18.41,-461.93,running
0.7608,1.6568,-0.4421,177.31,-58.03,-445.2,running
